Rk,Player,PTS,Date,Age,Team,at,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Player-additional,season,season_year
318,Kelly Tripucka,56,1983-01-29,23-347,DET,,CHI,W 128-126,1,37,18,26,0.692,18,26,0.692,0,0,,20,22,0.909,0.785,,,6,4,1,1,,4,56,,,F-G,tripuke01,1982-83,1983
319,Adrian Dantley,57,1982-12-04,27-279,UTA,,CHI,W 131-124,1,38,20,27,0.741,20,27,0.741,0,0,,17,22,0.773,0.777,3,6,9,3,0,0,2,5,57,46.1,,F-G,dantlad01,1982-83,1983
320,Ray Williams,52,1982-04-17,27-185,NJN,@,DET,W 147-132,1,43,21,34,0.618,20,33,0.606,1,1,1,9,11,0.818,0.669,,,4,7,,,,5,52,,,G,willira01,1981-82,1982
321,Adrian Dantley,53,1982-04-10,27-041,UTA,,DEN,W 151-136,1,45,19,28,0.679,19,28,0.679,0,0,,15,18,0.833,0.738,9,3,12,6,0,0,1,4,53,48.6,,F-G,dantlad01,1981-82,1982
322,George Gervin,50,1982-03-06,29-313,SAS,,MIL,W 171-166 (3OT),1,56,21,31,0.677,21,31,0.677,0,0,,8,8,1,0.724,1,7,8,5,1,0,4,3,50,38.8,,G-F,gervige01,1981-82,1982
323,Moses Malone,53,1982-02-02,26-316,HOU,,SDC,W 122-106,1,42,19,30,0.633,19,30,0.633,0,0,,15,18,0.833,0.699,11,11,22,4,2,1,3,2,53,51.1,,C-F,malonmo01,1981-82,1982
324,Moses Malone,51,1981-03-11,25-353,HOU,,GSW,W 109-92,1,44,20,28,0.714,20,28,0.714,0,,,11,12,0.917,0.766,,,19,2,2,0,,3,51,,,C-F,malonmo01,1980-81,1981
325,Adrian Dantley,55,1981-02-06,25-344,UTA,,DEN,L 116-120,1,47,24,36,0.667,24,36,0.667,0,0,,7,8,0.875,0.696,6,1,7,3,1,1,4,4,55,41.7,,F-G,dantlad01,1980-81,1981
326,Adrian Dantley,51,1981-01-07,25-314,UTA,@,DEN,W 121-117,1,45,20,25,0.8,20,25,0.8,0,0,,11,11,1,0.855,2,3,5,7,2,0,3,1,51,47.3,,F-G,dantlad01,1980-81,1981
327,Bernard King,50,1981-01-03,24-030,GSW,,PHI,L 105-119,1,43,20,25,0.8,20,25,0.8,0,0,,10,11,0.909,0.838,5,3,8,4,3,2,3,3,50,47.5,,F,kingbe01,1980-81,1981
328,Billy Knight,52,1980-11-11,28-155,IND,@,SAS,W 119-113,1,39,19,30,0.633,19,30,0.633,0,0,,14,16,0.875,0.702,,,5,0,5,0,,1,52,,,G-F,knighbi01,1980-81,1981
